priority_group,site_no,station_nm,site_tp_cd,dec_lat_va,dec_long_va,coord_datum_cd,huc_cd,huc8_name,parameter_count,parameter_codes,parameter_names,site_web_url
4_middle_willamette,450601123010400,WILLAMETTE R ON RB AT RM 70.2,ST,45.100275,-123.0177306,NAD83,17090007,Middle Willamette,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/450601123010400/
4_middle_willamette,444932123071200,WILLAMETTE R SIDE CHANNEL ON RB AT RM 100.2,ST,44.82559167,-123.1200056,NAD83,17090007,Middle Willamette,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/444932123071200/
4_middle_willamette,451807122443100,"WILLOW CREEK NEAR MOUTH, AT WILSONVILLE, OR",ST,45.30202778,-122.7419722,NAD83,17090007,Middle Willamette,1,00010,water_temperature,https://waterdata.usgs.gov/monitoring-location/451807122443100/
4_molalla-pudding,14201500,"BUTTE CREEK AT MONITOR, OR",ST,45.1015099,-122.7462019,NAD27,17090009,Molalla-Pudding,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14201500/
4_molalla-pudding,14199704,"NATE CREEK TRIBUTARY NEAR COLTON, OR",ST,45.2054444,-122.412111,NAD83,17090009,Molalla-Pudding,3,"00010,00060,00065","water_temperature,discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14199704/
4_molalla-pudding,14200700,"ABIQUA CREEK AT SILVERTON, OR",ST,45.03145,-122.7908306,NAD83,17090009,Molalla-Pudding,2,"00060,00065","discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14200700/
4_molalla-pudding,14198400,"BULL CREEK NEAR WILHOIT, OR",ST,44.9609,-122.385,NAD83,17090009,Molalla-Pudding,2,"00060,00065","discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14198400/
4_molalla-pudding,14200100,"DRIFT CREEK NEAR SILVERTON, OR",ST,44.97680556,-122.830111,NAD83,17090009,Molalla-Pudding,2,"00060,00065","discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14200100/
4_molalla-pudding,14200300,"SILVER CREEK AT SILVERTON, OR",ST,45.00923999,-122.7886775,NAD27,17090009,Molalla-Pudding,2,"00060,00065","discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14200300/
4_molalla-pudding,14201300,"ZOLLNER CREEK NEAR MT ANGEL, OR",ST,45.10035029,-122.82173589,NAD27,170900090204,Molalla-Pudding,2,"00060,00065","discharge,gage_height",https://waterdata.usgs.gov/monitoring-location/14201300/
